Material;Material desc;Grupo art. Desc;Jerar;NEGOCIO desc;Tipo producto;Familia
142791;LIJA DE FIERRO 213A GRANO 60;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija de fierro
142792;LIJA DE FIERRO 213A GRANO 80;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija de fierro
142796;LIJA TELA ESMERIL FIERRO GR.180;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija de fierro
142799;RUEDA COMBI-S G80 3X3/4X1/4;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Rueda Combi-s
142801;PL ASTM A-131 GRADE B 40X2500X6000MM;PLANCHA GRUESA;"	PLANC.GRUESA";ACERO;;
142802;PL ASTM A-131 GRADE E 7X2500X12000MM;PLANCHA GRUESA;"	PLANC.GRUESA";ACERO;;
142828;TUBO HIDRAULICO METRICO INOX 25 MM X 3;Fittings Metrico;"	CONDUCCION DE FLUIDOS";EMSESA;;
142829;FITTING ERMETO PARKER ODR30S71X;TUB(AC) FITTINGS HID;"	CONDUCCION DE FLUIDOS";EMSESA;;
142830;FITTING ERMETO PARKER ODR38S71X;TUB(AC) FITTINGS HID;"	CONDUCCION DE FLUIDOS";EMSESA;;
142870;ALAMBRE LINCOLN INNERSHIELD NR211 0,8MM;ALAMBRE TUBULARES;"	SOLDADURA ESTRUCTURAL";SOLDADURA Y CORTE;Soldaduras;Alambre
142905;LINTERNA PROMOCIONAL MATRIX;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Linterna promocional 
142912;"SIERRA HUINCHA BIMET 2"" PASO VARIABLE AL";SIERRA HUINCHA ANGOSTA;"	CORTE MADERA";SOLDADURA Y CORTE;;
142923;APLICADOR SPILL GUN SC-30-S-76090;Agente Quimico Seco;"	QCA 21";SEGURIDAD INDUSTRIAL;;
142924;BALDE 37 LB AGENTE P/SPILL-X-FP-78443;Agente Quimico Seco;"	QCA 21";SEGURIDAD INDUSTRIAL;;
142927;DISCO LIJA PFERD 80 FS 115-22 A 60;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Disco de láminas lijadoras
142929;HOJA PAPEL AGUA BP W 230X280 SIC 220;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142930;HOJA PAPEL AGUA BP W 230X280 SIC 100;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142931;HOJA PAPEL AGUA BP W 230X280 SIC 1000;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142932;HOJA PAPEL AGUA BP W 230X280 SIC 1200;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142933;HOJA PAPEL AGUA BP W 230X280 SIC 150;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142936;HOJA PAPEL AGUA BP W 230X280 SIC 360;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142937;HOJA PAPEL AGUA BP W 230X280 SIC 400;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142938;HOJA PAPEL AGUA BP W 230X280 SIC 500;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142939;HOJA PAPEL AGUA BP W 230X280 SIC 600;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Lija resistente al agua
142940;PLIEGOS SOPORTE TELA BG BL 230X280 A 80;ABRASIVOS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Pliego soporte de tela
